Layer1,Layer2,DKL
1,2,8.279827356338501
1,3,11.29667615890503
2,3,3.0168492945158505
1,4,14.32763385772705
2,4,6.047806000933633
3,4,3.030956685374804
1,5,15.604968309402466
2,5,7.325140950328205
3,5,4.308291223485867
4,5,1.277334929781226
1,6,21.610679149627686
2,6,13.330852071288973
3,6,10.314001805512817
4,6,7.283046550137556
5,6,6.005711009953714
1,7,23.39702558517456
2,7,15.117199190426618
3,7,12.100348503045097
4,7,9.06939308100641
5,7,7.79205800667367
6,7,1.7863469684123543
1,8,26.332711696624756
2,8,18.052885734767187
3,8,15.036034763215866
4,8,12.00508052563481
5,8,10.727744478440457
6,8,4.722033681457182
7,8,2.9356864801977443
1,9,31.588337898254395
2,9,23.30850968323648
3,9,20.291658521102363
4,9,17.260705468697097
5,9,15.983369699788796
6,9,9.977658966788933
7,9,8.191311267622167
8,9,5.25562503005083
1,10,33.33600425720215
2,10,25.05617796210572
3,10,22.039325808851572
4,10,19.00837154030046
5,10,17.73103592091644
6,10,11.725325308845175
7,10,9.938977728132247
8,10,7.003291341354758
9,10,1.7476665207150983
1,11,36.2362961769104
2,11,27.956467973825056
3,11,24.939616481220583
4,11,21.908662712270484
5,11,20.63132723315718
6,11,14.625616968176772
7,11,12.839268790055678
8,11,9.903582251894546
9,11,4.647957565953402
10,11,2.9002912975744684
1,12,41.64522123336792
2,12,33.36539538402576
3,12,30.348541098112037
4,12,27.31758963878019
5,12,26.04025432881923
6,12,20.034544068440148
7,12,18.248194900945634
8,12,15.312509307527899
9,12,10.056884310235883
10,12,8.309217798747751
11,12,5.408925879389663
1,13,44.00587701797485
2,13,35.72605207830202
3,13,32.70919625825991
4,13,29.678247021813604
5,13,28.40090960464039
6,13,22.395199861476097
7,13,20.608850458410526
8,13,17.673164772338282
9,13,12.41753974933993
10,13,10.66987340334568
11,13,7.769581328410404
12,13,2.360655784090535
1,14,47.666781425476074
2,14,39.3869558472652
3,14,36.37010162720253
4,14,33.33914927834803
5,14,32.0618137765681
6,14,26.05610273553387
7,14,24.269754186168548
8,14,21.33406940877225
9,14,16.078442595492756
10,14,14.330776997050357
11,14,11.430484806351972
12,14,6.021559138021445
13,14,3.66090360506917
1,15,48.514702796936035
2,15,40.23487545829266
3,15,37.21802348147321
4,15,34.187072351078314
5,15,32.90973514426588
6,15,26.90402591055004
7,15,25.117677665869234
8,15,22.18199148848332
9,15,16.92636601646638
10,15,15.178700077735561
11,15,12.278407053666864
12,15,6.869481383412467
13,15,4.508825920296633
14,15,0.8479225310986114
1,16,54.31262683868408
2,16,46.03279983147513
3,16,43.01594665049197
4,16,39.984997420908485
5,16,38.70766040626842
6,16,32.70195040882516
7,16,30.915600976338084
8,16,27.97991541013468
9,16,22.724290804411382
10,16,20.976624843372605
11,16,18.076332515710103
12,16,12.667405839963426
13,16,10.306750871378762
14,16,6.645846145159504
15,16,5.797924462683064
1,17,56.11898612976074
2,17,47.83915601170156
3,17,44.822300607505895
4,17,41.79135322877687
5,17,40.514017385011186
6,17,34.50830702539994
7,17,32.72195655581957
8,17,29.78627172864009
9,17,24.530645524295387
10,17,22.78298060896586
