Layer1,Layer2,DKL
1,2,4.148228287696838
1,3,6.106509208679199
2,3,1.9582811081781983
1,4,7.827668190002441
2,4,3.6794405095279217
3,4,1.7211591644445434
1,5,9.774993419647217
2,5,5.626765506342053
3,5,3.6684841407695785
4,5,1.9473249273287365
1,6,11.507818698883057
2,6,7.359590623527765
3,6,5.401309119537473
4,6,3.6801500805886462
5,6,1.7328251878188894
1,7,12.682440757751465
2,7,8.534213326871395
3,7,6.575931892497465
4,7,4.854772624181351
5,7,2.9074476367095485
6,7,1.174622606173216
1,8,14.49162244796753
2,8,10.343394841998816
3,8,8.385112972930074
4,8,6.663953805167694
5,8,4.716629040645785
6,8,2.9838041548237015
7,8,1.809181443773923
1,9,16.20470666885376
2,9,12.056478660553694
3,9,10.098196586593986
4,9,8.377037569880486
5,9,6.429713124642149
6,9,4.696888168620717
7,9,3.5222656736777935
8,9,1.7130839630213757
1,10,17.37661075592041
2,10,13.228384014219046
3,10,11.270101804751903
4,10,9.548942650959361
5,10,7.601618038352171
6,10,5.868793603222912
7,10,4.694170717289126
8,10,2.884989053743084
9,10,1.1719050754394775
1,11,19.184914588928223
2,11,15.03668699413538
3,11,13.078405206557363
4,11,11.357245706603862
5,11,9.409921329061035
6,11,7.6770963700873835
7,11,6.502473805570389
8,11,4.693291803067552
9,11,2.980207894018754
10,11,1.808302833688173
1,12,20.370518684387207
2,12,16.222291626036167
3,12,14.264010222163051
4,12,12.542850801022723
5,12,10.595526022385457
6,12,8.862701702815684
7,12,7.688079047636165
8,12,5.878897114084793
9,12,4.165813100244513
10,12,2.993907986026457
11,12,1.1856050099561963
