Layer1,Layer2,DKL
1,2,1.1451349258422852
1,3,2.8916372060775757
2,3,1.7465019971132278
1,4,4.062786936759949
2,4,2.917651742696762
3,4,1.1711496394127607
1,5,5.867088794708252
2,5,4.721953779459
3,5,2.975451884791255
4,5,1.8043022081255913
1,6,7.051925778388977
2,6,5.90679058432579
3,6,4.160288754850626
4,6,2.989139039069414
5,6,1.1848369923536666
1,7,8.112073421478271
2,7,6.966938078403473
3,7,5.220436215400696
4,7,4.04928672593087
5,7,2.2449845569208264
6,7,1.0601475613511866
1,8,9.874948501586914
2,8,8.729813128709793
3,8,6.983311094343662
4,8,5.812161332927644
5,8,4.007859456003644
6,8,2.823022472555749
7,8,1.762874795604148
1,9,11.05420207977295
2,9,9.909066319465637
3,9,8.162563994526863
4,9,6.9914149306714535
5,9,5.187112966552377
6,9,4.002275843580719
7,9,2.9421282018447528
8,9,1.179253171383607
1,10,12.112818479537964
2,10,10.967683613300323
3,10,9.221181482076645
4,10,8.050032127648592
5,10,6.245730355614796
6,10,5.060893088870216
7,10,4.000745348879718
8,10,2.237870553162793
9,10,1.0586172950615946
1,11,13.875068664550781
2,11,12.7299325466156
3,11,10.983430825173855
4,11,9.81228157877922
5,11,8.007979618618265
6,11,6.8231424245168455
7,11,5.7629950201371685
8,11,4.000119845655718
9,11,2.820866562138235
10,11,1.7622493483289645
1,12,15.054235935211182
2,12,13.909099757671356
3,12,12.162598133087158
4,12,10.991448758170009
5,12,9.187146968673915
6,12,8.002310144715011
7,12,6.942162099701818
8,12,5.1792870142780885
9,12,4.000033952939702
10,12,2.9414166383257907
11,12,1.1791673664410496
