Layer1,Layer2,DKL
2-,5-,1.640858769416809
2-,6-,1.640858769416809
2-,8-,2.862783193588257
2-,9-,2.862783193588257
2-,12-,3.455976963043213
2-,13-,3.455976963043213
2-,15-,4.023426532745361
2-,16-,4.023426532745361
2-,18-,4.403146266937256
2-,19-,4.403146266937256
2-,21-,4.903049468994141
2-,22-,4.903049468994141
2-,25-,5.142580986022949
2-,26-,5.142580986022949
2-,28-,5.418873310089111
2-,29-,5.418873310089111
2-,31-,5.610072135925293
2-,32-,5.610072135925293
2-,34-,5.950915336608887
2-,35-,5.950915336608887
2-,38-,6.108381748199463
2-,39-,6.108381748199463
2-,41-,6.326889514923096
2-,42-,6.326889514923096
2-,44-,6.500593185424805
2-,45-,6.500593185424805
2-,47-,6.7959675788879395
2-,48-,6.7959675788879395
2-,50-,6.960289001464844
2-,51-,6.960289001464844
2-,53-,7.159950256347656
2-,54-,7.159950256347656
2-,56-,7.288280010223389
2-,57-,7.288280010223389
2-,59-,7.437248229980469
2-,60-,7.437248229980469
2-,62-,7.511449813842773
2-,63-,7.511449813842773
2-,65-,7.633355617523193
2-,66-,7.633355617523193
2-,68-,7.701805114746094
2-,69-,7.701805114746094
2-,71-,7.804901599884033
2-,72-,7.804901599884033
2-,75-,7.855721473693848
2-,76-,7.855721473693848
2-,78-,7.946013450622559
2-,79-,7.946013450622559
2-,81-,8.027873039245605
2-,82-,8.027873039245605
2-,84-,8.179391860961914
3-,5-,1.640858769416809
3-,6-,1.640858769416809
3-,8-,2.862783193588257
3-,9-,2.862783193588257
3-,12-,3.455976963043213
3-,13-,3.455976963043213
3-,15-,4.023426532745361
3-,16-,4.023426532745361
3-,18-,4.403146266937256
3-,19-,4.403146266937256
3-,21-,4.903049468994141
3-,22-,4.903049468994141
3-,25-,5.142580986022949
3-,26-,5.142580986022949
3-,28-,5.418873310089111
3-,29-,5.418873310089111
3-,31-,5.610072135925293
3-,32-,5.610072135925293
3-,34-,5.950915336608887
3-,35-,5.950915336608887
3-,38-,6.108381748199463
3-,39-,6.108381748199463
3-,41-,6.326889514923096
3-,42-,6.326889514923096
3-,44-,6.500593185424805
3-,45-,6.500593185424805
3-,47-,6.7959675788879395
3-,48-,6.7959675788879395
3-,50-,6.960289001464844
3-,51-,6.960289001464844
3-,53-,7.159950256347656
3-,54-,7.159950256347656
3-,56-,7.288280010223389
3-,57-,7.288280010223389
3-,59-,7.437248229980469
3-,60-,7.437248229980469
3-,62-,7.511449813842773
3-,63-,7.511449813842773
3-,65-,7.633355617523193
3-,66-,7.633355617523193
3-,68-,7.701805114746094
3-,69-,7.701805114746094
3-,71-,7.804901599884033
3-,72-,7.804901599884033
3-,75-,7.855721473693848
3-,76-,7.855721473693848
3-,78-,7.946013450622559
3-,79-,7.946013450622559
3-,81-,8.027873039245605
3-,82-,8.027873039245605
3-,84-,8.179391860961914
5-,8-,1.221924528479576
5-,9-,1.221924528479576
5-,12-,1.8151181787252426
5-,13-,1.8151181787252426
5-,15-,2.3825676888227463
5-,16-,2.3825676888227463
5-,18-,2.7622874081134796
5-,19-,2.7622874081134796
5-,21-,3.2621906995773315
5-,22-,3.2621906995773315
5-,25-,3.5017224550247192
5-,26-,3.5017224550247192
5-,28-,3.7780145406723022
5-,29-,3.7780145406723022
5-,31-,3.96921369433403
5-,32-,3.96921369433403
5-,34-,4.310056686401367
5-,35-,4.310056686401367
5-,38-,4.4675233066082
5-,39-,4.4675233066082
5-,41-,4.686031013727188
5-,42-,4.686031013727188
5-,44-,4.859734773635864
5-,45-,4.859734773635864
5-,47-,5.155109107494354
5-,48-,5.155109107494354
5-,50-,5.319430112838745
5-,51-,5.319430112838745
5-,53-,5.519091904163361
5-,54-,5.519091904163361
5-,56-,5.647421777248383
5-,57-,5.647421777248383
5-,59-,5.796390175819397
5-,60-,5.796390175819397
5-,62-,5.870591163635254
5-,63-,5.870591163635254
5-,65-,5.992497146129608
5-,66-,5.992497146129608
5-,68-,6.060946583747864
5-,69-,6.060946583747864
5-,71-,6.164043128490448
5-,72-,6.164043128490448
5-,75-,6.214862942695618
5-,76-,6.214862942695618
5-,78-,6.305154800415039
5-,79-,6.305154800415039
5-,81-,6.387014210224152
5-,82-,6.387014210224152
5-,84-,6.538533449172974
6-,8-,1.221924528479576
6-,9-,1.221924528479576
6-,12-,1.8151181787252426
6-,13-,1.8151181787252426
6-,15-,2.3825676888227463
6-,16-,2.3825676888227463
6-,18-,2.7622874081134796
6-,19-,2.7622874081134796
6-,21-,3.2621906995773315
6-,22-,3.2621906995773315
6-,25-,3.5017224550247192
6-,26-,3.5017224550247192
6-,28-,3.7780145406723022
6-,29-,3.7780145406723022
6-,31-,3.96921369433403
6-,32-,3.96921369433403
6-,34-,4.310056686401367
6-,35-,4.310056686401367
6-,38-,4.4675233066082
6-,39-,4.4675233066082
6-,41-,4.686031013727188
6-,42-,4.686031013727188
6-,44-,4.859734773635864
6-,45-,4.859734773635864
6-,47-,5.155109107494354
6-,48-,5.155109107494354
6-,50-,5.319430112838745
6-,51-,5.319430112838745
6-,53-,5.519091904163361
6-,54-,5.519091904163361
6-,56-,5.647421777248383
6-,57-,5.647421777248383
6-,59-,5.796390175819397
6-,60-,5.796390175819397
6-,62-,5.870591163635254
6-,63-,5.870591163635254
6-,65-,5.992497146129608
6-,66-,5.992497146129608
6-,68-,6.060946583747864
6-,69-,6.060946583747864
6-,71-,6.164043128490448
6-,72-,6.164043128490448
6-,75-,6.214862942695618
6-,76-,6.214862942695618
