Layer1,Layer2,DKL
5,8,0.847088024020195
5,14,1.318642757833004
5,17,1.8170252293348312
5,22,2.1765571534633636
5,25,2.528102323412895
5,32,2.6909860968589783
5,35,2.9333544224500656
5,40,3.104998543858528
5,43,3.321517825126648
5,49,3.414319097995758
5,52,3.5752900391817093
5,59,3.648027330636978
5,62,3.7779390066862106
5,67,3.8864914774894714
5,70,4.085042655467987
5,76,4.170967310667038
5,79,4.322191029787064
5,85,4.377306669950485
5,88,4.502101182937622
5,94,4.5744337141513824
5,97,4.679808050394058
5,102,4.744052410125732
5,105,4.878942936658859
5,111,4.929081439971924
5,114,5.04195362329483
5,121,5.0783886313438416
5,124,5.177691340446472
5,129,5.243689864873886
5,132,5.380961775779724
5,138,5.417839914560318
5,141,5.5340385138988495
5,147,5.562293261289597
5,150,5.663607239723206
8,14,0.4715547552332282
8,17,0.9699372481554747
8,22,1.3294692374765873
8,25,1.6810144148766994
8,32,1.8438980430364609
8,35,2.0862664245069027
8,40,2.2579105235636234
8,43,2.474429987370968
8,49,2.5672310814261436
8,52,2.7282021418213844
8,59,2.8009395226836205
8,62,2.9308511689305305
8,67,3.0394037067890167
8,70,3.2379546463489532
8,76,3.3238794952630997
8,79,3.4751032069325447
8,85,3.530218794941902
8,88,3.655013270676136
8,94,3.7273457422852516
8,97,3.832720160484314
8,102,3.8969646245241165
8,105,4.031855218112469
8,111,4.08199368417263
8,114,4.194865711033344
8,121,4.231300845742226
8,124,4.330603517591953
8,129,4.396602116525173
8,132,4.533874191343784
8,138,4.570752151310444
8,141,4.686950653791428
8,147,4.715205267071724
8,150,4.8165193349123
14,17,0.4983825106173754
14,22,0.8579145185649395
14,25,1.209459701552987
14,32,1.3723433762788773
14,35,1.6147117018699646
14,40,1.7863558437675238
14,43,2.002875305712223
14,49,2.0956764966249466
14,52,2.256647437810898
14,59,2.329384870827198
14,62,2.459296565502882
14,67,2.5678490921854973
14,70,2.766399998217821
14,76,2.852324940264225
14,79,3.0035485811531544
14,85,3.058664247393608
14,88,3.183458633720875
14,94,3.2557911835610867
14,97,3.361165553331375
14,102,3.4254100471735
14,105,3.5603006593883038
14,111,3.610439106822014
14,114,3.7233110517263412
14,121,3.7597462460398674
14,124,3.859048970043659
14,129,3.9250475093722343
14,132,4.062319561839104
14,138,4.099197618663311
14,141,4.215395972132683
14,147,4.243650801479816
14,150,4.3449647799134254
17,22,0.35953203891403973
17,25,0.7110772547312081
17,32,0.8739609629847109
17,35,1.1163293300196528
17,40,1.2879734714515507
17,43,1.5044928947463632
17,49,1.5972941219806671
17,52,1.7582651050761342
17,59,1.831002552062273
17,62,1.9609142327681184
17,67,2.0694667138159275
17,70,2.2680176747962832
17,76,2.3539426075294614
17,79,2.505166357383132
17,85,2.5602818904444575
17,88,2.6850764183327556
17,94,2.757408929988742
17,97,2.86278335750103
17,102,2.9270278234034777
17,105,3.061918403953314
17,111,3.1120568718761206
17,114,3.2249289825558662
17,121,3.2613641154021025
17,124,3.360666649416089
17,129,3.426665388047695
17,132,3.5639373660087585
17,138,3.60081547498703
17,141,3.7170138861984015
17,147,3.7452686112374067
17,150,3.8465826977044344
22,25,0.35154518694616854
22,32,0.5144288688898087
22,35,0.7567972193937749
22,40,0.9284413370769471
22,43,1.1449607415124774
22,49,1.237761981319636
22,52,1.398732952773571
22,59,1.4714703569188714
22,62,1.601382051128894
22,67,1.7099344870075583
22,70,1.9084854922257364
22,76,1.994410315528512
22,79,2.1456341138109565
22,85,2.2007496915757656
22,88,2.325544146820903
22,94,2.397876713424921
22,97,2.503251018933952
22,102,2.5674955062568188
22,105,2.7023861007764935
22,111,2.7525245072320104
22,114,2.8653965843841434
22,121,2.9018317935988307
22,124,3.0011343583464622
22,129,3.0671330261975527
22,132,3.2044049706310034
22,138,3.2412830544635653
22,141,3.357481436803937
22,147,3.3857362223789096
22,150,3.487050339579582
25,32,0.1628836824093014
25,35,0.4052520242985338
25,40,0.5768961245194077
25,43,0.7934155373368412
25,49,0.8862167429178953
25,52,1.047187704127282
25,59,1.1199251159559935
25,62,1.2498368003871292
25,67,1.3583892688620836
25,70,1.556940238457173
25,76,1.6428650892339647
25,79,1.7940888185985386
25,85,1.8492044075392187
25,88,1.973998898640275
25,94,2.046331388410181
25,97,2.1517057474702597
25,102,2.215950225479901
25,105,2.3508407357148826
25,111,2.400979224126786
25,114,2.513851348310709
25,121,2.5502864783629775
25,124,2.6495890258811414
25,129,2.7155877142213285
25,132,2.8528596605174243
25,138,2.889737787656486
25,141,3.00593616720289
25,147,3.0341909383423626
25,150,3.1355049554258585
32,35,0.24236833036411554
32,40,0.4140124259283766
32,43,0.6305318360682577
32,49,0.723333025467582
32,52,0.8843039913335815
32,59,0.9570413955952972
32,62,1.0869530532509089
32,67,1.1955055361613631
32,70,1.394056492485106
32,76,1.4799813583958894
32,79,1.6312051282729954
32,85,1.6863206701818854
32,88,1.8111151426564902
32,94,1.8834476410411298
32,97,1.9888220173306763
32,102,2.053066478576511
32,105,2.1879569734446704
32,111,2.238095470238477
32,114,2.350967562291771
32,121,2.387402752880007
32,124,2.4867053013294935
32,129,2.5527039426378906
32,132,2.6899758926592767
32,138,2.7268540393561125
32,141,2.843052462209016
32,147,2.8713072016835213
32,150,2.9726211223751307
35,40,0.17164409536053427
35,43,0.38816350046545267
35,49,0.48096469324082136
35,52,0.6419356412952766
35,59,0.714673045091331
35,62,0.8445847237017006
35,67,0.9531372194178402
35,70,1.151688153622672
35,76,1.2376130013726652
35,79,1.388836753088981
35,85,1.4439523206092417
35,88,1.5687467996031046
35,94,1.6410793117247522
35,97,1.7464536756742746
35,102,1.8106981546152383
35,105,1.9455886320210993
35,111,1.9957271590828896
35,114,2.1085992173757404
35,121,2.14503436954692
35,124,2.244336945703253
35,129,2.3103356175124645
35,132,2.447607558220625
35,138,2.4844856685958803
35,141,2.600684039760381
35,147,2.6289388458244503
35,150,2.7302527790889144
40,43,0.21651940507581457
40,49,0.30932058233884163
40,52,0.4702915449743159
40,59,0.5430289444047958
40,62,0.6729406340164132
40,67,0.7814930974273011
40,70,0.9800440482795238
40,76,1.0659689193125814
40,79,1.2171926555456594
40,85,1.2723082096781582
40,88,1.397102678893134
40,94,1.4694351896177977
40,97,1.5748095298185945
40,102,1.6390540164429694
40,105,1.7739445520564914
40,111,1.824083010898903
40,114,1.936955105746165
40,121,1.9733902555890381
40,124,2.072692868998274
40,129,2.138691501226276
40,132,2.2759634694084525
40,138,2.312841535778716
40,141,2.4290399730671197
40,147,2.457294743973762
40,150,2.5586087252013385
43,49,0.09280118520109681
43,52,0.25377214173204266
43,59,0.32650954872951843
43,62,0.45642122288700193
43,67,0.5649737055064179
43,70,0.7635246574645862
43,76,0.8494494990445673
43,79,1.0006732447072864
43,85,1.0557888170005754
43,88,1.1805832933168858
43,94,1.2529157932149246
43,97,1.3582901583286002
43,102,1.4225346361054108
43,105,1.5574251177022234
43,111,1.6075636077439412
43,114,1.72043572133407
43,121,1.7568708581384271
43,124,1.856173453386873
43,129,1.9221720932982862
43,132,2.0594440260902047
43,138,2.096322141820565
43,141,2.212520523928106
43,147,2.240775309037417
43,150,2.3420892616268247
49,52,0.16097095745499246
49,59,0.23370835694367997
49,62,0.3636200207984075
49,67,0.47217250004177913
49,70,0.6707234397763386
49,76,0.7566483069676906
49,79,0.9078720260877162
49,85,0.9629875969840214
49,88,1.0877820724854246
49,94,1.1601145784370601
49,97,1.265488944714889
49,102,1.3297334049129859
49,105,1.4646238827845082
49,111,1.5147623916855082
49,114,1.6276344988727942
49,121,1.6640696059912443
49,124,1.7633722083410248
49,129,1.8293708777055144
49,132,1.9666428139898926
49,138,2.00352087803185
49,141,2.11971928155981
49,147,2.147974035004154
49,150,2.249288054415956
52,59,0.07273740431992337
52,62,0.2026490708667552
52,67,0.3112015506194439
52,70,0.5097524950397201
52,76,0.5956773532670923
52,79,0.7469010844361037
52,85,0.8020166596397758
52,88,0.9268111221026629
52,94,0.9991436302079819
52,97,1.104517983389087
52,102,1.1687624525511637
52,105,1.3036529523087665
52,111,1.353791453759186
52,114,1.4666635330067948
52,121,1.5030986974015832
52,124,1.6024012690177187
52,129,1.6683999062515795
52,132,1.8056718790903687
52,138,1.8425499218283221
52,141,1.958748335368
52,147,1.9870031166356057
52,150,2.0883170852903277
59,62,0.1299116815716843
59,67,0.23846417345339432
59,70,0.43701513708219863
59,76,0.5229399991512764
59,79,0.6741637552622706
59,85,0.729279326449614
59,88,0.8540737994480878
59,94,0.9264063282171264
59,97,1.0317807042156346
59,102,1.0960251564974897
59,105,1.2309156984556466
59,111,1.2810541830258444
59,114,1.393926286837086
59,121,1.4303614299278706
59,124,1.5296640194719657
59,129,1.5956626685801893
59,132,1.732934667612426
59,138,1.7698127352632582
59,141,1.8860111434478313
59,147,1.9142658945638686
59,150,2.0155798838241026
62,67,0.10855248495499836
62,70,0.3071034369932022
62,76,0.39302830744418316
62,79,0.5442520484211855
62,85,0.599367618386168
62,88,0.7241620843997225
62,94,0.7964946024003439
62,97,0.9018689761287533
62,102,0.9661134470952675
62,105,1.1010039682732895
62,111,1.1511424297932535
62,114,1.2640145381446928
62,121,1.3004496800131164
62,124,1.3997522458666936
62,129,1.465750916977413
62,132,1.6030228818999603
62,138,1.639900971436873
62,141,1.7560993894003332
62,147,1.7843541690381244
62,150,1.8856681316392496
67,70,0.19855094912054483
67,76,0.2844758073333651
67,79,0.4356995481066406
67,85,0.49081511292024516
67,88,0.6156095821061172
67,94,0.6879420983314048
67,97,0.7933164446149021
67,102,0.8575609276886098
67,105,0.9924514339654706
67,111,1.0425899197580293
67,114,1.1554620162351057
67,121,1.1918971455306746
67,124,1.2911997299524955
67,129,1.3571984057780355
67,132,1.4944703573128209
67,138,1.531348401797004
67,141,1.647546813590452
67,147,1.6758016275707632
67,150,1.7771155749214813
70,76,0.08592486623092555
70,79,0.23714860492327716
70,85,0.2922641819459386
70,88,0.4170586576801725
70,94,0.48939116785186343
70,97,0.5947655322379433
70,102,0.6590100074245129
70,105,0.7939005117514171
70,111,0.8440390162286349
70,114,0.9569111060700379
70,121,0.9933462571934797
70,124,1.0926488354452886
70,129,1.1586474858922884
70,132,1.2959194551222026
70,138,1.332797546114307
70,141,1.4489959502243437
70,147,1.477250744937919
70,150,1.5785646954318509
76,79,0.15122375485225348
76,85,0.20633933177305153
76,88,0.3311338130006334
76,94,0.4034663236088818
76,97,0.5088406991853844
76,102,0.5730851826665457
76,105,0.7079757021565456
76,111,0.7581142117560375
76,114,0.8709862888790667
76,121,0.9074214413703885
76,124,1.0067240227363072
76,129,1.0727227114257403
76,132,1.2099946696544066
76,138,1.2468727642553858
76,141,1.36307117738761
76,147,1.391325950040482
76,150,1.4926399302785285
79,85,0.05511557057252503
79,88,0.17991004155192059
79,94,0.2522425441929954
79,97,0.35761691590596456
79,102,0.42186138180841226
79,105,0.5567518844036385
79,111,0.6068903778214008
79,114,0.7197624586115126
79,121,0.7561976081633475
79,124,0.8555001769273076
79,129,0.9214988400053699
79,132,1.0587707909871824
79,138,1.0956488650699612
79,141,1.2118472697329707
79,147,1.240102038369514
79,150,1.3414160324027762
85,88,0.1247944793321949
85,94,0.19712699563388014
85,97,0.3025013714286615
85,102,0.36674584417778533
85,105,0.5016363689210266
85,111,0.5517748665151885
85,114,0.6646469474071637
85,121,0.7010821000440046
85,124,0.8003846845822409
85,129,0.8663833619793877
85,132,1.0036553175887093
85,138,1.0405334185925312
85,141,1.156731808470795
85,147,1.1849865926778875
85,150,1.2863005722756498
88,94,0.07233250590434182
88,97,0.17770686755829956
88,102,0.24195133231114596
88,105,0.3768418366817059
88,111,0.4269803250354016
88,114,0.5398524080374045
88,121,0.576287554751616
88,124,0.675590129379998
88,129,0.7415887867682613
88,132,0.8788607342285104
88,138,0.9157388108433224
88,141,1.0319372085505165
88,147,1.060191990021849
88,150,1.1615059693867806
94,97,0.10537435837250086
94,102,0.16961881945826462
94,105,0.3045093152250047
94,111,0.35464780894108117
94,114,0.46751988760661334
94,121,0.5039550285728183
94,124,0.6032575874414761
94,129,0.669256250577746
94,132,0.8065281942253932
94,138,0.84340627482743
94,141,0.9596046706428751
94,147,0.9878594531037379
94,150,1.0891734081087634
97,102,0.06424446479832113
97,105,0.19913496806839248
97,111,0.24927345554169733
97,114,0.3621455413158401
97,121,0.3985806863347534
97,124,0.49788326529960614
97,129,0.5638819231389789
97,132,0.7011538740916876
97,138,0.7380319638032233
97,141,0.8542303523863666
97,147,0.8824851273675449
97,150,0.9837991113599855
102,105,0.1348905099730473
102,111,0.1850290035836224
102,114,0.29790109449095326
102,121,0.334336241838173
102,124,0.43363881493132794
102,129,0.49963747792935465
102,132,0.6369094360998133
102,138,0.6737875120306853
102,141,0.7899859408207703
102,147,0.8182407112180954
102,150,0.9195546890841797
105,111,0.050138488921220414
105,114,0.1630105766635097
105,121,0.1994457231994602
105,124,0.298748297689599
105,129,0.3647469597271993
105,132,0.5020189150091028
105,138,0.5388969894120237
105,141,0.6550954038539203
105,147,0.6833501755754696
105,150,0.7846641466458095
111,114,0.11287209491820249
111,121,0.14930723916040733
111,124,0.2486098235094687
111,129,0.3146084891704959
111,132,0.4518804538529366
111,138,0.4887585322285304
111,141,0.604956937226234
111,147,0.6332117162673967
111,150,0.7345256975822849
114,121,0.03643514638542911
114,124,0.13573772944255325
114,129,0.20173639765926055
114,132,0.33900836509565124
114,138,0.37588644411152927
114,141,0.49208485960843973
114,147,0.5203396339493338
114,150,0.6216536162100965
121,124,0.0993025779407617
121,129,0.16530124112978228
121,132,0.30257319657175685
121,138,0.3394512749000569
121,141,0.45564968711551046
121,147,0.483904466185777
121,150,0.5852184318864602
124,129,0.06599866637043306
124,132,0.2032706294885429
124,138,0.2401487084789551
124,141,0.35634712028695503
124,147,0.3846018961048685
124,150,0.4859158735780511
129,132,0.1372719526880246
129,138,0.17415003087444347
129,141,0.29034844346824684
129,147,0.31860321769636357
129,150,0.41991718376084464
132,138,0.03687807677670207
132,141,0.1530764813633141
132,147,0.18133125588246912
132,150,0.28264522552490234
138,141,0.1161984034206398
138,147,0.14445317621903087
138,150,0.24576714658905985
141,147,0.028254774886818268
141,150,0.12956875082454644
147,150,0.10131397609529813
