Layer1,Layer2,DKL
5,8,0.5456333830952644
5,14,1.1562840044498444
5,17,1.4464870542287827
5,22,1.8715196698904037
5,25,2.0724464505910873
5,32,2.3311175405979156
5,35,2.460956484079361
5,40,2.685696244239807
5,43,2.8096732199192047
5,49,2.9659992158412933
5,52,3.0626026391983032
5,59,3.186052620410919
5,62,3.264099508523941
5,67,3.4572040736675262
5,70,3.5768043398857117
5,76,3.7387329638004303
5,79,3.8263239562511444
5,85,3.9436751008033752
5,88,4.018171429634094
5,94,4.1198780834674835
5,97,4.181733399629593
5,102,4.328257083892822
5,105,4.4025216698646545
5,111,4.509175896644592
5,114,4.570988774299622
5,121,4.664080560207367
5,124,4.717858672142029
5,129,4.837981641292572
5,132,4.91273558139801
5,138,5.019871115684509
5,141,5.0826327204704285
5,147,5.179679811000824
5,150,5.233415603637695
8,14,0.6106506092473865
8,17,0.9008537232875824
8,22,1.3258863613009453
8,25,1.5268130637705326
8,32,1.7854841388761997
8,35,1.9153232164680958
8,40,2.140063028782606
8,43,2.2640398927032948
8,49,2.4203658774495125
8,52,2.5169693417847157
8,59,2.6404192708432674
8,62,2.7184661477804184
8,67,2.9115708991885185
8,70,3.0311710610985756
8,76,3.1930996477603912
8,79,3.280690558254719
8,85,3.398041754961014
8,88,3.4725380912423134
8,94,3.574244864284992
8,97,3.636100187897682
8,102,3.7826238572597504
8,105,3.856888420879841
8,111,3.9635425731539726
8,114,4.025355719029903
8,121,4.118447437882423
8,124,4.172225669026375
8,129,4.2923484146595
8,132,4.36710225045681
8,138,4.474237576127052
8,141,4.5369996055960655
8,147,4.634046405553818
8,150,4.6877821907401085
14,17,0.2902031246921979
14,22,0.7152357388986275
14,25,0.9161624601110816
14,32,1.174833546159789
14,35,1.3046725387685
14,40,1.5294123189523816
14,43,1.6533892173320055
14,49,1.8097152123227715
14,52,1.906318607274443
14,59,2.0297685149125755
14,62,2.1078155101276934
14,67,2.300920211710036
14,70,2.420520419254899
14,76,2.582448881585151
14,79,2.670039909891784
14,85,2.787391006015241
14,88,2.861887493170798
14,94,2.9635941963642836
14,97,3.0254495604895055
14,102,3.171973272692412
14,105,3.2462377413176
14,111,3.3528918735682964
14,114,3.414704886265099
14,121,3.5077966917306185
14,124,3.561574837192893
14,129,3.6816976806148887
14,132,3.7564515890553594
14,138,3.8635868337005377
14,141,3.926349088549614
14,147,4.02339593321085
14,150,4.077131571248174
17,22,0.4250326360925101
17,25,0.6259593680733815
17,32,0.8846304127946496
17,35,1.014469435904175
17,40,1.2392092742957175
17,43,1.3631860720925033
17,49,1.5195120899006724
17,52,1.6161155346781015
17,59,1.739565480966121
17,62,1.8176123399753124
17,67,2.010717100230977
17,70,2.130317294737324
17,76,2.292245815973729
17,79,2.379836740437895
17,85,2.4971878826618195
17,88,2.571684401948005
17,94,2.6733910106122494
17,97,2.7352463458664715
17,102,2.881770143751055
17,105,2.95603453181684
17,111,3.0626887967810035
17,114,3.124501869082451
17,121,3.2175935469567776
17,124,3.271371870301664
17,129,3.3914946177974343
